,job_location,job_title,job_company,job_price,job_price_min,job_price_max
0,深圳,数据安全工程师[车公庙],OPPO,30k-45k,30,45
1,深圳,BI数据分析师[香蜜湖],平安产险深圳分公司,20k-25k,20,25
2,深圳,1141C0-大数据产品方案专家[南山区],平安科技,20k-35k,20,35
3,深圳,03516S-高级数据开发工程师-核心团队[福田区],平安产险,25k-35k,25,35
4,深圳,02514W-数据平台架构师[福田区],平安人寿,12k-24k,12,24
5,深圳,025165-数据开发工程师(数据采集)[福田区],平安人寿,12k-24k,12,24
6,深圳,1141ES-云数据库工程师[南山区],平安科技,18k-33k,18,33
7,深圳,03517S-全栈开发工程师-数据智能[福田区],平安产险,15k-30k,15,30
8,深圳,0342LD-数据/精算总监[香蜜湖],平安产险深圳分公司,30k-50k,30,50
9,深圳,BK51WF-数据分析岗[罗湖区],平安银行,15k-20k,15,20
10,深圳,47511M-i城市-解决方案（政务数据应用[南山区],平安智慧城,18k-35k,18,35
11,深圳,咨询专家-（数据分析方向）[南山区],神策数据,15k-30k,15,30
12,深圳,大数据开发工程师[南山区],AfterShip,20k-40k,20,40
13,深圳,BK51WG-数据挖掘岗[罗湖区],平安银行,15k-20k,15,20
14,深圳,数据和大数据开发工程师[蔡屋围],国信证券,27k-35k,27,35
15,深圳,47511M-i城市-解决方案（政务数据应用[南山区],平安智慧城,18k-35k,18,35
16,深圳,数据产品经理 (MJ000813)[南山区],百丽新零售,18k-35k,18,35
17,深圳,咨询专家-（数据分析方向）[南山区],神策数据,15k-30k,15,30
18,深圳,数据仓库工程师[南山区],AfterShip,20k-40k,20,40
19,深圳,高级数据开发工程师[南山区],OPPO,25k-45k,25,45
20,深圳,大数据开发工程师[南山区],珍爱网,20k-30k,20,30
21,深圳,BK5115-数据产品经理岗[南山区],平安银行信用卡中心,15k-25k,15,25
22,深圳,大数据开发工程师[南山区],盈峰普惠,15k-25k,15,25
23,深圳,资深数据库研发工程师[福田区],南方基金,20k-40k,20,40
24,深圳,高级后台开发工程师-大数据方向[西丽],SHEIN,20k-35k,20,35
25,深圳,大数据[龙岗区],软通动力,18k-36k,18,36
26,深圳,产品经理/产品设计师（数据运营平台方向）[科技园],金蝶,18k-36k,18,36
27,深圳,运营数据分析师[南山区],黑鲨科技,15k-30k,15,30
28,深圳,高级大数据运维工程师[南山区],极光,25k-40k,25,40
29,深圳,D高级/资深大数据平台工程师[福永],旭日云科,20k-35k,20,35
