,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $12.80,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung 19v 4.74a Dell Asus,1267 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=06eebce4-fe8b-49ec-94c8-264d573672b2&algo_expid=06eebce4-fe8b-49ec-94c8-264d573672b2-0&btsid=0b86d81915877548833685895ee6a2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1
1,US $9.50,Charger Power-Adapter Universal Laptop Lenovo Acer 28-Connectors Dell-Hp Samsung Asus,7 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000801699996.html?algo_pvid=06eebce4-fe8b-49ec-94c8-264d573672b2&algo_expid=06eebce4-fe8b-49ec-94c8-264d573672b2-1&btsid=0b86d81915877548833685895ee6a2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",2
2,US $14.30 - 15.11,Charger Power-Adapter Laptops Acer Universal Portable Toshiba Dell Asus 24V 34pcs 96W,265 Sold,JUNZI'S Store,https://www.aliexpress.com/store/5227047,"https://www.aliexpress.com/item/4000116319127.html?algo_pvid=06eebce4-fe8b-49ec-94c8-264d573672b2&algo_expid=06eebce4-fe8b-49ec-94c8-264d573672b2-2&btsid=0b86d81915877548833685895ee6a2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",3
3,US $6.24,Power-Adapter-Charger Laptop Lenovo Universal DELL ASUS Sony DC 96W for Toshiba 4-5.5A,154 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32941361090.html?algo_pvid=06eebce4-fe8b-49ec-94c8-264d573672b2&algo_expid=06eebce4-fe8b-49ec-94c8-264d573672b2-3&btsid=0b86d81915877548833685895ee6a2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",4
4,US $6.50,Power-Adapter-Charger Laptop Ac Lenovo Universal Sony DELL ASUS 96W for Toshiba 4-5A,788 Sold,Suwang Store,https://www.aliexpress.com/store/5370052,"https://www.aliexpress.com/item/4000228359493.html?algo_pvid=06eebce4-fe8b-49ec-94c8-264d573672b2&algo_expid=06eebce4-fe8b-49ec-94c8-264d573672b2-4&btsid=0b86d81915877548833685895ee6a2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",5
5,US $6.40,Charger Power-Adapter Laptop Lenovo Acer Thinkpad Universal Sony Samsung Toshiba 19v 4.74a,100 Sold,IMBARW Laptop Charger Store Store,https://www.aliexpress.com/store/5585197,"https://www.aliexpress.com/item/4000802085227.html?algo_pvid=06eebce4-fe8b-49ec-94c8-264d573672b2&algo_expid=06eebce4-fe8b-49ec-94c8-264d573672b2-5&btsid=0b86d81915877548833685895ee6a2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",6
6,US $6.17,Charger Adaptor Power-Supply-Adapter Universal Adjustable 20V 24V DC 15V AC 19V 18V 96W,511 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/33002563321.html?algo_pvid=06eebce4-fe8b-49ec-94c8-264d573672b2&algo_expid=06eebce4-fe8b-49ec-94c8-264d573672b2-6&btsid=0b86d81915877548833685895ee6a2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",7
7,US $6.17,Laptop-Adapter Power-Supply-Set Notebooks Led-Charger 8-Detachable-Plugs Adjustable Acer,151 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269649106.html?algo_pvid=06eebce4-fe8b-49ec-94c8-264d573672b2&algo_expid=06eebce4-fe8b-49ec-94c8-264d573672b2-7&btsid=0b86d81915877548833685895ee6a2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",8
8,US $6.17,Adapter Motor Notebook Power-Charger Laptop Universal 555 795 Charging for And 555/775/795/Motor,61 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269668140.html?algo_pvid=06eebce4-fe8b-49ec-94c8-264d573672b2&algo_expid=06eebce4-fe8b-49ec-94c8-264d573672b2-8&btsid=0b86d81915877548833685895ee6a2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",9
9,US $12.99,Adapter Charger Connector-Jack-Sets-Plug Notebook Laptop-Tips Universal Lenovo Dell All-In-One,10 Sold,Digital PY Store,https://www.aliexpress.com/store/2801093,"https://www.aliexpress.com/item/4000253125083.html?algo_pvid=06eebce4-fe8b-49ec-94c8-264d573672b2&algo_expid=06eebce4-fe8b-49ec-94c8-264d573672b2-9&btsid=0b86d81915877548833685895ee6a2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",10
