,item_id,item_sold,item_name
0,32597758635,1178 orders,19V 4.74A 90W Universal Power Adapter Charger For Acer Asus Dell HP Lenovo Samsung Toshiba Laptop 18.5V 19.5V 20V
1,32343136892,130 orders,"19.5V 4.62A 90W AC Adapter FOR DELL Latitude D505 D510 D800 D810 D820 E5530,E5400,E6500,M70 Laptop Power Charger Supply"
2,32790959319,143 orders,19.5V 4.62A AC Laptop Adapter For dell inspiron PA-10 1545 N4010 n4030 n4050 1400 D610 D620 D630 1420 D800 E6400 pa-1900-02D
3,32954653412,134 orders,Ingelon Portable cargador Universal portatil 80W Notebook DC 15v-19v to 24v power adapter Adjustable car laptop charger lader
4,32617572014,124 orders,LCD Third Generation Smart Multifunctional Universal Power Supply Home or Car Charger Laptop Adapter 90W with USB2.4A for Phone
5,32788932952,140 orders,Universal Power Supply Charger For Notebook AC Laptop Adapter Charger For HP Power Supply Charger Cord For HP Laptop Envy4 Envy6
6,32942053060,146 orders,HOT 96W Universal Power Charger Charging AC Adapter EU/US/UK Plug For Laptop NotebooK and 555 775 795 motor power adapter
7,32957115062,104 orders,19.5V 3.34A 65W laptop AC power adapter charger for Dell Inspiron 15 3551 3552 3558 5551 5552 5555 5558 5559 7568 P28E P57G
8,32865455717,214 orders,EU 19V 1.75A 33W 4.0*1.35mm AC Laptop Charger Power Adapter For ASUS ADP-33AW S200E X202E X201E Q200 S200L S220 X453M F453 X403M
9,33006223242,96 orders,19.5V 4.62A 90W 7.4x5.0mm Laptop adapter charger for Dell Inspiron 15 (3520) (3521) Power Supply
10,33035020392,455 orders,34Pcs Universal Power Adapter 96W 12V To 24V Adjustable Portable Charger For Dell Toshiba Hp Asus Acer Laptops Eu-Plug
11,32852427227,89 orders,19V 3.16A 5.5x3.0mm AC Power Supply Adapter For Samsung NP300V5A RV411 R428 RV415 RV420 RV515 R540 R510 R522 R530 Laptop Charger
12,32887697518,68 orders,19V 3.42A 65w EU Plug Laptop AC Power Adapter Zenbook Charger for Asus UX32VD UX32A UX42 V451 U38D UX32V 4.0mm*1.35mm
13,33053088336,88 orders,Universal 12-24V 4.5A 100W Laptop Notebook Power Adapter Charger for Acer ASUS DELL Thinkpad Lenovo Sony Samsung Laptop computer
14,32862921368,125 orders,EU 19V 2.15A 40W 5.5*1.7mm AC Laptop Adapter For Acer Aspire One D255 533 D257 D260 W500P W501 W501P E15 Power Supply Charger
15,32992033664,123 orders,96W Universal Laptop PC Netbook Power Supply Charger 110-220v AC To DC 12V/15V/16V/18V/19V/20V/24V Laptop Charger Adapter
16,32818464811,58 orders,19.5V 2.31A Laptop DC Car Charger Power Adapter for HP EliteBook 820 G3 820 G4 840 G3 840 G4 1040 G2 1040 G1 1040 G3 1030 G1 725
17,33055562905,125 orders,DC In Car Charger Notebook Universal AC Adapter Power Supply For Laptop 100W 5A Drop shippingWholesale dropshipping
18,32799435466,122 orders,CARPRIE MotherLander 96W Universal Power Charger Charging AC Adapter EU Plug For Laptop Notebook Mar9
19,32327844257,55 orders,100W Universal Multifunction laptop Power Supply adapter car charger for laptop/Mobile Phone/Notebook USB Power and 15connector
20,32858191355,54 orders,Universal 8xTip Connectors AC/DC To DC Inverter Car Charger Power Supply Adpter With Car Charger Adapter Cord For Laptop EU Plug
21,32881314860,32 orders,Supply New Laptop Adapter Power Charger Universal 120W Universal EU Plug Laptop Car DC Charger Notebook AC Adapter Power
22,32982582725,59 orders,AC Laptop Power Adapter Charger 20V 3.25A 65W For Lenovo Yoga 13 G400 G500 G505 G405 For Thinkpad X300S X301S X230S S230U
23,32500831234,60 orders,Flashcolor 110-220v AC To DC 12V/15V/16V/18V/19V/20V/24V Laptop Charger Adapter 96W Universal Laptop PC Power Supply Charger
24,32827720628,59 orders,"Original 65W AC Power Adapter Charger for HP Spectre x360 -13t 13t-4100 Touch Laptop ProBook 430 G3, 450 G3, 455 G3, 470 G3, 440"
25,32910850460,31 orders,Laptop Adapter Charger 19V 3.42A 65W Power Adapter AC Charger for Asus 100-240V for US EU plug
26,32887647476,26 orders,100W Universal AC Adapter Power Supply Charger Cord for Laptop Notebook New
